178,972 ; 23,660 ; 47,055 2020/04/20 11:00:02
178,972 ; 23,660 ; 47,055 2020/04/20 11:20:01
178,972 ; 23,660 ; 47,055 2020/04/20 11:40:01
178,972 ; 23,660 ; 47,055 2020/04/20 12:00:01
178,972 ; 23,660 ; 47,055 2020/04/20 12:20:01
178,972 ; 23,660 ; 47,055 2020/04/20 13:00:01
181,228 ; 24,114 ; 48,877 2020/04/20 16:00:01
181,228 ; 24,114 ; 48,877 2020/04/20 16:20:01
181,228 ; 24,114 ; 48,877 2020/04/20 16:40:01
181,228 ; 24,114 ; 48,877 2020/04/20 17:00:01
181,228 ; 24,114 ; 48,877 2020/04/20 17:20:02
183,957 ; 24,648 ; 51,600 2020/04/21 14:00:02
183,957 ; 24,648 ; 51,600 2020/04/21 14:20:02
183,957 ; 24,648 ; 51,600 2020/04/21 14:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 15:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 15:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 15:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 16:00:02
183,957 ; 24,648 ; 51,600 2020/04/21 16:20:02
183,957 ; 24,648 ; 51,600 2020/04/21 16:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 17:00:02
183,957 ; 24,648 ; 51,600 2020/04/21 17:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 17:40:02
183,957 ; 24,648 ; 51,600 2020/04/21 18:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 18:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 18:40:02
183,957 ; 24,648 ; 51,600 2020/04/21 19:00:02
183,957 ; 24,648 ; 51,600 2020/04/21 19:20:02
183,957 ; 24,648 ; 51,600 2020/04/21 19:40:02
183,957 ; 24,648 ; 51,600 2020/04/21 20:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 20:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 20:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 21:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 21:20:02
183,957 ; 24,648 ; 51,600 2020/04/21 21:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 22:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 22:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 22:40:01
183,957 ; 24,648 ; 51,600 2020/04/21 23:00:01
183,957 ; 24,648 ; 51,600 2020/04/21 23:20:01
183,957 ; 24,648 ; 51,600 2020/04/21 23:40:01
183,957 ; 24,648 ; 51,600 2020/04/22 00:00:01
183,957 ; 24,648 ; 51,600 2020/04/22 00:20:01
183,957 ; 24,648 ; 51,600 2020/04/22 00:40:01
183,957 ; 24,648 ; 51,600 2020/04/22 01:00:01
183,957 ; 24,648 ; 51,600 2020/04/22 01:20:02
183,957 ; 24,648 ; 51,600 2020/04/22 09:40:02
183,957 ; 24,648 ; 51,600 2020/04/22 10:00:02
183,957 ; 24,648 ; 51,600 2020/04/22 10:20:01
183,957 ; 24,648 ; 51,600 2020/04/22 10:40:01
183,957 ; 24,648 ; 51,600 2020/04/22 11:00:01
183,957 ; 24,648 ; 51,600 2020/04/22 11:20:02
183,957 ; 24,648 ; 51,600 2020/04/22 11:40:01
183,957 ; 24,648 ; 51,600 2020/04/22 12:00:01
183,957 ; 24,648 ; 51,600 2020/04/22 12:20:01
183,957 ; 24,648 ; 51,600 2020/04/22 12:40:01
183,957 ; 24,648 ; 51,600 2020/04/22 13:00:02
187,327 ; 25,085 ; 54,543 2020/04/22 13:20:01
187,327 ; 25,085 ; 54,543 2020/04/22 13:40:01
