2,658,764 ; 185,439 ; 729,982 2020/04/23 09:20:02
2,658,794 ; 185,451 ; 730,337 2020/04/23 09:40:01
2,660,322 ; 185,468 ; 730,517 2020/04/23 10:00:02
2,661,504 ; 185,504 ; 730,725 2020/04/23 10:20:01
2,661,506 ; 185,504 ; 730,774 2020/04/23 10:40:01
2,661,518 ; 185,504 ; 730,843 2020/04/23 11:00:01
2,666,440 ; 186,150 ; 730,907 2020/04/23 11:20:02
2,667,532 ; 186,252 ; 730,920 2020/04/23 11:40:01
2,668,889 ; 186,324 ; 730,987 2020/04/23 12:00:01
2,670,020 ; 186,388 ; 731,070 2020/04/23 12:20:02
2,671,954 ; 186,468 ; 731,676 2020/04/23 12:40:01
2,672,221 ; 186,929 ; 731,788 2020/04/23 13:00:02
2,672,337 ; 186,933 ; 731,825 2020/04/23 13:20:01
2,678,621 ; 187,618 ; 736,388 2020/04/23 14:00:02
2,692,579 ; 188,063 ; 738,428 2020/04/23 14:20:02
2,693,740 ; 188,148 ; 738,437 2020/04/23 14:40:02
2,695,418 ; 188,802 ; 739,871 2020/04/23 15:00:01
2,697,084 ; 188,846 ; 739,876 2020/04/23 15:20:01
2,697,585 ; 188,872 ; 739,971 2020/04/23 15:40:01
2,699,460 ; 188,930 ; 740,366 2020/04/23 16:00:02
2,700,803 ; 189,094 ; 740,396 2020/04/23 16:20:02
2,700,885 ; 189,099 ; 740,396 2020/04/23 16:40:01
2,701,484 ; 189,297 ; 741,921 2020/04/23 17:00:02
2,701,924 ; 189,308 ; 742,202 2020/04/23 17:20:01
2,709,949 ; 190,098 ; 742,255 2020/04/23 17:40:01
2,710,071 ; 190,098 ; 742,255 2020/04/23 18:00:01
2,710,089 ; 190,100 ; 743,510 2020/04/23 18:20:02
2,710,089 ; 190,101 ; 743,510 2020/04/23 18:40:01
2,752,692 ; 192,261 ; 758,187 2020/04/24 10:40:01
2,753,385 ; 192,301 ; 761,496 2020/04/24 11:00:01
2,754,506 ; 192,377 ; 762,128 2020/04/24 11:20:01
2,759,892 ; 193,145 ; 762,128 2020/04/24 11:40:01
2,760,442 ; 193,148 ; 762,784 2020/04/24 12:00:01
2,761,967 ; 193,217 ; 763,017 2020/04/24 12:20:01
2,763,080 ; 193,665 ; 763,569 2020/04/24 12:40:01
2,766,172 ; 193,774 ; 764,099 2020/04/24 13:00:02
2,768,062 ; 193,863 ; 764,794 2020/04/24 13:20:01
2,786,743 ; 194,470 ; 771,014 2020/04/24 13:40:01
2,787,806 ; 194,536 ; 771,074 2020/04/24 14:00:01
2,796,143 ; 194,547 ; 773,408 2020/04/24 14:20:02
2,798,816 ; 194,996 ; 775,262 2020/04/24 14:40:01
